State,date,Positive COVID Tests,Total COVID Tests,Month,Day,Year,COVID Positivity Rate
South Dakota,9/26/2020,21133.0,186134.0,09 Sep,26,2020,11.35
Tennesee,9/26/2020,190891.0,2789879.0,09 Sep,26,2020,6.84
Texas,9/26/2020,733438.0,5994813.0,09 Sep,26,2020,12.23
Utah,9/26/2020,69547.0,805079.0,09 Sep,26,2020,8.64
Virginia,9/26/2020,145408.0,1993344.0,09 Sep,26,2020,7.29
Virgin Islands,9/26/2020,1296.0,19972.0,09 Sep,26,2020,6.49
Vermont,9/26/2020,1739.0,160276.0,09 Sep,26,2020,1.09
Washington,9/26/2020,85226.0,1801021.0,09 Sep,26,2020,4.73
Wisconsin,9/26/2020,120231.0,1513643.0,09 Sep,26,2020,7.94
West Virginia,9/26/2020,15158.0,542291.0,09 Sep,26,2020,2.8
Wyoming,9/26/2020,5465.0,97871.0,09 Sep,26,2020,5.58
Alaska,9/25/2020,8202.0,441332.0,09 Sep,25,2020,1.86
Alabama,9/25/2020,150658.0,1097595.0,09 Sep,25,2020,13.73
