Year,Month,FIPS,Beverage,Gallons,Ethanol,Population,PerCapita,PerCapita3yr,PctChange
2017,8,38,1,167706,68927,613251,0.1124,,
2017,8,48,1,3143703,1292062,22572383,0.0572,,
2017,8,51,1,940152,386402,7015247,0.0551,,
2017,8,55,1,948807,389960,4805415,0.0812,,
2017,8,2,2,248580,32067,593378,0.054,,
2017,8,5,2,314719,40599,2455022,0.0165,,
2017,8,8,2,1693905,218514,4634346,0.0472,,
2017,8,9,2,1069234,137931,3015481,0.0457,,
2017,8,12,2,5851902,754895,17722275,0.0426,,
2017,8,17,2,3379674,435978,10556100,0.0413,,
2017,8,21,2,420672,54267,3670568,0.0148,,
2017,8,22,2,866973,111839,3807282,0.0294,,
2017,8,25,2,2339265,301765,5815595,0.0519,,
2017,8,29,2,1231511,158865,5037634,0.0315,,
2017,8,38,2,131476,16960,613251,0.0277,,
2017,8,41,2,1148434,148148,3468412,0.0427,,
2017,8,48,2,5011892,646534,22572383,0.0286,,
2017,8,51,2,2320357,299326,7015247,0.0427,,
2017,8,55,2,1077684,139021,4805415,0.0289,,
2017,8,2,3,1636509,73643,593378,0.1241,,
2017,8,5,3,4447283,200128,2455022,0.0815,,
2017,8,8,3,11954718,537962,4634346,0.1161,,
2017,8,9,3,5690025,256051,3015481,0.0849,,
2017,8,12,3,38064476,1712901,17722275,0.0967,,
2017,8,17,3,26691702,1201127,10556100,0.1138,,
2017,8,20,3,4705106,211730,2356231,0.0899,,
2017,8,21,3,6334416,285049,3670568,0.0777,,
2017,8,25,3,12373486,556807,5815595,0.0957,,
2017,8,29,3,12132018,545941,5037634,0.1084,,
2017,8,38,3,1911782,86030,613251,0.1403,,
2017,8,41,3,9299906,418496,3468412,0.1207,,
2017,8,48,3,49822001,2241990,22572383,0.0993,,
2017,8,51,3,14616829,657757,7015247,0.0938,,
2017,9,2,1,144068,59212,593378,0.0998,,
2017,9,5,1,368364,151398,2455022,0.0617,,
2017,9,8,1,1055056,433628,4634346,0.0936,,
2017,9,9,1,542801,223091,3015481,0.074,,
2017,9,12,1,2806073,1153296,17722275,0.0651,,
2017,9,17,1,1621165,666299,10556100,0.0631,,
2017,9,20,1,389175,159951,2356231,0.0679,,
2017,9,21,1,615577,253002,3670568,0.0689,,
2017,9,22,1,689261,283286,3807282,0.0744,,
2017,9,25,1,1162718,477877,5815595,0.0822,,
2017,9,29,1,1199883,493152,5037634,0.0979,,
2017,9,38,1,152656,62741,613251,0.1023,,
2017,9,48,1,2683240,1102812,22572383,0.0489,,
2017,9,51,1,946518,389019,7015247,0.0555,,
2017,9,55,1,1201939,493997,4805415,0.1028,,
2017,9,2,2,199086,25682,593378,0.0433,,
2017,9,5,2,339144,43750,2455022,0.0178,,
2017,9,8,2,1364559,176028,4634346,0.038,,
2017,9,9,2,1064791,137358,3015481,0.0456,,
2017,9,12,2,4418578,569997,17722275,0.0322,,
2017,9,17,2,2690818,347116,10556100,0.0329,,
2017,9,21,2,529020,68244,3670568,0.0186,,
2017,9,22,2,732222,94457,3807282,0.0248,,
2017,9,25,2,2608738,336527,5815595,0.0579,,
2017,9,29,2,1365719,176178,5037634,0.035,,
2017,9,38,2,97187,12537,613251,0.0204,,
2017,9,41,2,1498873,193355,3468412,0.0557,,
2017,9,48,2,4750968,612875,22572383,0.0272,,
2017,9,51,2,2072836,267396,7015247,0.0381,,
2017,9,55,2,1326400,171106,4805415,0.0356,,
2017,9,2,3,1083370,48752,593378,0.0822,,
2017,9,5,3,4842596,217917,2455022,0.0888,,
2017,9,8,3,9942861,447429,4634346,0.0965,,
2017,9,9,3,4704961,211723,3015481,0.0702,,
2017,9,12,3,32493045,1462187,17722275,0.0825,,
2017,9,17,3,21419855,963893,10556100,0.0913,,
2017,9,20,3,5425750,244159,2356231,0.1036,,
2017,9,21,3,7976064,358923,3670568,0.0978,,
2017,9,25,3,9909433,445924,5815595,0.0767,,
2017,9,29,3,10420535,468924,5037634,0.0931,,
2017,9,38,3,1513268,68097,613251,0.111,,
2017,9,41,3,9788965,440503,3468412,0.127,,
2017,9,48,3,56817453,2556785,22572383,0.1133,,
2017,9,51,3,12453806,560421,7015247,0.0799,,
2017,10,2,1,133326,54797,593378,0.0923,,
2017,10,5,1,304389,125104,2455022,0.051,,
2017,10,8,1,1061033,436085,4634346,0.0941,,
2017,10,9,1,781879,321352,3015481,0.1066,,
2017,10,12,1,4000117,1644048,17722275,0.0928,,
2017,10,17,1,1895586,779086,10556100,0.0738,,
2017,10,20,1,342127,140614,2356231,0.0597,,
2017,10,21,1,593322,243856,3670568,0.0664,,
2017,10,22,1,827692,340181,3807282,0.0894,,
2017,10,25,1,1092277,448926,5815595,0.0772,,
2017,10,29,1,1045346,429637,5037634,0.0853,,
2017,10,38,1,162942,66969,613251,0.1092,,
2017,10,48,1,3366337,1383565,22572383,0.0613,,
2017,10,51,1,935204,384369,7015247,0.0548,,
2017,10,55,1,1067570,438771,4805415,0.0913,,
2017,10,2,2,187725,24217,593378,0.0408,,
2017,10,5,2,329767,42540,2455022,0.0173,,
2017,10,8,2,1599055,206278,4634346,0.0445,,
2017,10,9,2,1371876,176972,3015481,0.0587,,
2017,10,12,2,6540790,843762,17722275,0.0476,,
2017,10,17,2,3271374,422007,10556100,0.04,,
2017,10,21,2,466770,60213,3670568,0.0164,,
2017,10,22,2,916585,118239,3807282,0.0311,,
2017,10,25,2,2237509,288639,5815595,0.0496,,
2017,10,29,2,1428600,184289,5037634,0.0366,,
2017,10,38,2,141182,18212,613251,0.0297,,
2017,10,41,2,1365870,176197,3468412,0.0508,,
2017,10,48,2,4757581,613728,22572383,0.0272,,
2017,10,51,2,2397859,309324,7015247,0.0441,,
2017,10,55,2,1344302,173415,4805415,0.0361,,
2017,10,2,3,997871,44904,593378,0.0757,,
2017,10,5,3,4265696,191956,2455022,0.0782,,
2017,10,8,3,8972300,403754,4634346,0.0871,,
2017,10,9,3,4222705,190022,3015481,0.063,,
2017,10,12,3,33834345,1522546,17722275,0.0859,,
2017,10,17,3,20376090,916924,10556100,0.0869,,
2017,10,20,3,4311939,194037,2356231,0.0824,,
2017,10,21,3,6236816,280657,3670568,0.0765,,
2017,10,25,3,9290960,418093,5815595,0.0719,,
2017,10,29,3,10267423,462034,5037634,0.0917,,
2017,10,38,3,1576512,70943,613251,0.1157,,
2017,10,41,3,8276684,372451,3468412,0.1074,,
2017,10,48,3,52507834,2362853,22572383,0.1047,,
2017,10,51,3,12274679,552361,7015247,0.0787,,
2017,11,2,1,147474,60612,593378,0.1021,,
2017,11,5,1,375820,154462,2455022,0.0629,,
2017,11,8,1,1198683,492659,4634346,0.1063,,
2017,11,9,1,682880,280664,3015481,0.0931,,
2017,11,12,1,4001209,1644497,17722275,0.0928,,
2017,11,17,1,2023196,831533,10556100,0.0788,,
2017,11,20,1,533858,219415,2356231,0.0931,,
2017,11,21,1,642724,264160,3670568,0.072,,
2017,11,22,1,817453,335973,3807282,0.0882,,
2017,11,25,1,1192117,489960,5815595,0.0842,,
2017,11,29,1,1174026,482525,5037634,0.0958,,
2017,11,38,1,170289,69989,613251,0.1141,,
2017,11,48,1,3222290,1324361,22572383,0.0587,,
2017,11,51,1,1006638,413728,7015247,0.059,,
2017,11,55,1,1607309,660604,4805415,0.1375,,
2017,11,2,2,193979,25023,593378,0.0422,,
2017,11,5,2,445343,57449,2455022,0.0234,,
2017,11,8,2,1749042,225626,4634346,0.0487,,
2017,11,9,2,1443115,186162,3015481,0.0617,,
2017,11,12,2,7277814,938838,17722275,0.053,,
2017,11,17,2,3709028,478465,10556100,0.0453,,
2017,11,21,2,526878,67967,3670568,0.0185,,
2017,11,22,2,954343,123110,3807282,0.0323,,
2017,11,25,2,2860233,368970,5815595,0.0634,,
2017,11,29,2,1438737,185597,5037634,0.0368,,
2017,11,38,2,193879,25010,613251,0.0408,,
2017,11,41,2,1359068,175320,3468412,0.0505,,
2017,11,48,2,5677453,732391,22572383,0.0324,,
2017,11,51,2,2589542,334051,7015247,0.0476,,
2017,11,55,2,1391875,179552,4805415,0.0374,,
2017,11,2,3,988678,44491,593378,0.075,,
2017,11,5,3,4282967,192734,2455022,0.0785,,
2017,11,8,3,9314560,419155,4634346,0.0904,,
2017,11,9,3,4245835,191063,3015481,0.0634,,
2017,11,12,3,35372822,1591777,17722275,0.0898,,
2017,11,17,3,20100372,904517,10556100,0.0857,,
2017,11,20,3,3700194,166509,2356231,0.0707,,
2017,11,21,3,6274016,282331,3670568,0.0769,,
2017,11,25,3,9394224,422740,5815595,0.0727,,
2017,11,29,3,9835082,442579,5037634,0.0879,,
2017,11,38,3,1618559,72835,613251,0.1188,,
2017,11,41,3,6728926,302802,3468412,0.0873,,
2017,11,48,3,51468933,2316102,22572383,0.1026,,
2017,11,51,3,12115574,545201,7015247,0.0777,,
