State,Year,Month,Beverage,Ethanol,Population,PerCapita,PerCapita3yr,PctChange
Massachusetts,2019,04 Apr,Wine,282571,5862386,0.0482,,
Missouri,2019,04 Apr,Wine,147693,5077875,0.0291,,
North Dakota,2019,04 Apr,Wine,23036,617880,0.0373,,
Oregon,2019,04 Apr,Wine,232087,3547474,0.0654,,
Texas,2019,04 Apr,Wine,604070,23257363,0.026000000000000002,,
Virginia,2019,04 Apr,Wine,293252,7094962,0.0413,,
Wisconsin,2019,04 Apr,Wine,150979,4851640,0.0311,,
Alaska,2019,04 Apr,Beer,51214,589481,0.0869,,
Arkansas,2019,04 Apr,Beer,176747,2476087,0.0714,,
Colorado,2019,04 Apr,Beer,464585,4789291,0.09699999999999999,,
Connecticut,2019,04 Apr,Beer,194294,3019188,0.0644,,
Florida,2019,04 Apr,Beer,1643040,18207522,0.0902,,
Illinois,2019,04 Apr,Beer,919214,10512479,0.0874,,
Kansas,2019,04 Apr,Beer,215579,2371396,0.0909,,
Kentucky,2019,04 Apr,Beer,298141,3691561,0.0808,,
Massachusetts,2019,04 Apr,Beer,478989,5862386,0.0817,,
Missouri,2019,04 Apr,Beer,485288,5077875,0.0956,,
North Dakota,2019,04 Apr,Beer,84014,617880,0.136,,
Oregon,2019,04 Apr,Beer,329985,3547474,0.09300000000000001,,
Texas,2019,04 Apr,Beer,2236446,23257363,0.0962,,
Virginia,2019,04 Apr,Beer,570960,7094962,0.0805,,
Alaska,2019,05 May,Spirits,76844,589481,0.1304,,
Arkansas,2019,05 May,Spirits,130988,2476087,0.0529,,
Colorado,2019,05 May,Spirits,284741,4789291,0.0595,,
Connecticut,2019,05 May,Spirits,280678,3019188,0.09300000000000001,,
Florida,2019,05 May,Spirits,1633806,18207522,0.0897,,
Illinois,2019,05 May,Spirits,829945,10512479,0.0789,,
Kansas,2019,05 May,Spirits,177983,2371396,0.0751,,
Kentucky,2019,05 May,Spirits,282910,3691561,0.0766,,
Louisiana,2019,05 May,Spirits,357857,3799736,0.0942,,
Massachusetts,2019,05 May,Spirits,580322,5862386,0.099,,
Missouri,2019,05 May,Spirits,510654,5077875,0.1006,,
North Dakota,2019,05 May,Spirits,70153,617880,0.1135,,
Texas,2019,05 May,Spirits,1523221,23257363,0.0655,,
Virginia,2019,05 May,Spirits,443046,7094962,0.0624,,
Wisconsin,2019,05 May,Spirits,494061,4851640,0.1018,,
Alaska,2019,05 May,Wine,29427,589481,0.0499,,
Arkansas,2019,05 May,Wine,53853,2476087,0.0217,,
Colorado,2019,05 May,Wine,146093,4789291,0.0305,,
Connecticut,2019,05 May,Wine,150565,3019188,0.0499,,
Florida,2019,05 May,Wine,754917,18207522,0.0415,,
Illinois,2019,05 May,Wine,421464,10512479,0.0401,,
Kentucky,2019,05 May,Wine,70605,3691561,0.0191,,
Louisiana,2019,05 May,Wine,112680,3799736,0.0297,,
Massachusetts,2019,05 May,Wine,335240,5862386,0.0572,,
Missouri,2019,05 May,Wine,176435,5077875,0.0347,,
North Dakota,2019,05 May,Wine,14910,617880,0.0241,,
Oregon,2019,05 May,Wine,165450,3547474,0.0466,,
Texas,2019,05 May,Wine,636862,23257363,0.0274,,
Virginia,2019,05 May,Wine,315072,7094962,0.0444,,
Wisconsin,2019,05 May,Wine,123430,4851640,0.0254,,
Alaska,2019,05 May,Beer,66696,589481,0.1131,,
Arkansas,2019,05 May,Beer,175198,2476087,0.0708,,
Colorado,2019,05 May,Beer,505670,4789291,0.1056,,
Connecticut,2019,05 May,Beer,231191,3019188,0.0766,,
Florida,2019,05 May,Beer,1795631,18207522,0.0986,,
Illinois,2019,05 May,Beer,1113209,10512479,0.1059,,
Kansas,2019,05 May,Beer,210334,2371396,0.0887,,
Kentucky,2019,05 May,Beer,308090,3691561,0.0835,,
Massachusetts,2019,05 May,Beer,552564,5862386,0.0943,,
Missouri,2019,05 May,Beer,532645,5077875,0.1049,,
North Dakota,2019,05 May,Beer,90003,617880,0.1457,,
Oregon,2019,05 May,Beer,393905,3547474,0.111,,
Texas,2019,05 May,Beer,2410456,23257363,0.1036,,
Virginia,2019,05 May,Beer,670576,7094962,0.0945,,
Alaska,2019,06 Jun,Spirits,70036,589481,0.1188,,
Arkansas,2019,06 Jun,Spirits,168156,2476087,0.0679,,
Colorado,2019,06 Jun,Spirits,599731,4789291,0.1252,,
Connecticut,2019,06 Jun,Spirits,283207,3019188,0.0938,,
Florida,2019,06 Jun,Spirits,1857997,18207522,0.102,,
Illinois,2019,06 Jun,Spirits,963302,10512479,0.0916,,
Kansas,2019,06 Jun,Spirits,183597,2371396,0.0774,,
Kentucky,2019,06 Jun,Spirits,270670,3691561,0.0733,,
Louisiana,2019,06 Jun,Spirits,319012,3799736,0.084,,
Massachusetts,2019,06 Jun,Spirits,706893,5862386,0.1206,,
Missouri,2019,06 Jun,Spirits,515320,5077875,0.1015,,
North Dakota,2019,06 Jun,Spirits,81812,617880,0.1324,,
Texas,2019,06 Jun,Spirits,1601362,23257363,0.0689,,
Virginia,2019,06 Jun,Spirits,419800,7094962,0.0592,,
Wisconsin,2019,06 Jun,Spirits,596975,4851640,0.12300000000000001,,
Alaska,2019,06 Jun,Wine,31062,589481,0.0527,,
Arkansas,2019,06 Jun,Wine,53494,2476087,0.0216,,
Colorado,2019,06 Jun,Wine,198273,4789291,0.0414,,
Connecticut,2019,06 Jun,Wine,153029,3019188,0.0507,,
Florida,2019,06 Jun,Wine,679827,18207522,0.0373,,
Illinois,2019,06 Jun,Wine,430018,10512479,0.0409,,
Kentucky,2019,06 Jun,Wine,67636,3691561,0.0183,,
Louisiana,2019,06 Jun,Wine,94542,3799736,0.0249,,
Massachusetts,2019,06 Jun,Wine,387174,5862386,0.066,,
Missouri,2019,06 Jun,Wine,152925,5077875,0.0301,,
North Dakota,2019,06 Jun,Wine,15537,617880,0.0251,,
Oregon,2019,06 Jun,Wine,105953,3547474,0.0299,,
Texas,2019,06 Jun,Wine,658975,23257363,0.0283,,
Virginia,2019,06 Jun,Wine,267297,7094962,0.0377,,
Wisconsin,2019,06 Jun,Wine,165393,4851640,0.0341,,
Alaska,2019,06 Jun,Beer,67704,589481,0.1149,,
Arkansas,2019,06 Jun,Beer,221077,2476087,0.0893,,
Colorado,2019,06 Jun,Beer,525699,4789291,0.1098,,
Connecticut,2019,06 Jun,Beer,227248,3019188,0.0753,,
Florida,2019,06 Jun,Beer,1566999,18207522,0.0861,,
Illinois,2019,06 Jun,Beer,1059736,10512479,0.1008,,
Kansas,2019,06 Jun,Beer,231590,2371396,0.0977,,
Kentucky,2019,06 Jun,Beer,238009,3691561,0.0645,,
Massachusetts,2019,06 Jun,Beer,510718,5862386,0.0871,,
Missouri,2019,06 Jun,Beer,497443,5077875,0.098,,
North Dakota,2019,06 Jun,Beer,93533,617880,0.1514,,
Oregon,2019,06 Jun,Beer,394097,3547474,0.1111,,
Texas,2019,06 Jun,Beer,2698772,23257363,0.11599999999999999,,
Virginia,2019,06 Jun,Beer,590770,7094962,0.0833,,
Alaska,2019,07 Jul,Spirits,77748,589481,0.1319,,
Arkansas,2019,07 Jul,Spirits,129611,2476087,0.0523,,
Colorado,2019,07 Jul,Spirits,470020,4789291,0.0981,,
Connecticut,2019,07 Jul,Spirits,272957,3019188,0.0904,,
Florida,2019,07 Jul,Spirits,1348207,18207522,0.07400000000000001,,
Illinois,2019,07 Jul,Spirits,651884,10512479,0.062,,
Kansas,2019,07 Jul,Spirits,130942,2371396,0.0552,,
Kentucky,2019,07 Jul,Spirits,315789,3691561,0.0855,,
Louisiana,2019,07 Jul,Spirits,312172,3799736,0.0822,,
Massachusetts,2019,07 Jul,Spirits,437669,5862386,0.0747,,
Missouri,2019,07 Jul,Spirits,444657,5077875,0.0876,,
North Dakota,2019,07 Jul,Spirits,71335,617880,0.1155,,
Texas,2019,07 Jul,Spirits,1322515,23257363,0.0569,,
Virginia,2019,07 Jul,Spirits,423424,7094962,0.0597,,
Wisconsin,2019,07 Jul,Spirits,643755,4851640,0.1327,,
Alaska,2019,07 Jul,Wine,31969,589481,0.0542,,
Arkansas,2019,07 Jul,Wine,49012,2476087,0.0198,,
Colorado,2019,07 Jul,Wine,202375,4789291,0.0423,,
Connecticut,2019,07 Jul,Wine,143362,3019188,0.0475,,
Florida,2019,07 Jul,Wine,642137,18207522,0.0353,,
Illinois,2019,07 Jul,Wine,371423,10512479,0.0353,,
Kentucky,2019,07 Jul,Wine,72031,3691561,0.0195,,
Louisiana,2019,07 Jul,Wine,101885,3799736,0.0268,,
Massachusetts,2019,07 Jul,Wine,249332,5862386,0.0425,,
Missouri,2019,07 Jul,Wine,138636,5077875,0.0273,,
North Dakota,2019,07 Jul,Wine,15007,617880,0.0243,,
Oregon,2019,07 Jul,Wine,193244,3547474,0.0545,,
Texas,2019,07 Jul,Wine,628923,23257363,0.027000000000000003,,
Virginia,2019,07 Jul,Wine,281795,7094962,0.0397,,
Wisconsin,2019,07 Jul,Wine,168503,4851640,0.0347,,
Alaska,2019,07 Jul,Beer,76791,589481,0.1303,,
Arkansas,2019,07 Jul,Beer,190735,2476087,0.077,,
Colorado,2019,07 Jul,Beer,539510,4789291,0.1126,,
Connecticut,2019,07 Jul,Beer,252228,3019188,0.0835,,
Florida,2019,07 Jul,Beer,1611943,18207522,0.0885,,
Illinois,2019,07 Jul,Beer,1127111,10512479,0.1072,,
Kansas,2019,07 Jul,Beer,226334,2371396,0.0954,,
