State,Month,Year,Beverage,Ethanol,PerCapita,,,,,,,,
Connecticut,3,2017,Beer,193183,6.41,,,,,,,,
Connecticut,4,2017,Spirits,218000,7.23,,,,,,,,
Connecticut,4,2017,Wine,138120,4.58,,,,,,,,
Connecticut,4,2017,Beer,194802,6.46,,,,,,,,
Connecticut,5,2017,Spirits,266423,8.84,,,,,,,,
Connecticut,5,2017,Wine,153124,5.08,,,,,,,,
Connecticut,5,2017,Beer,234447,7.77,,,,,,,,
Connecticut,6,2017,Spirits,315753,10.47,,,,,,,,
Connecticut,6,2017,Wine,167489,5.55,,,,,,,,
Connecticut,6,2017,Beer,267892,8.88,,,,,,,,
Connecticut,7,2017,Spirits,235901,7.82,,,,,,,,
Connecticut,7,2017,Wine,142408,4.72,,,,,,,,
Connecticut,7,2017,Beer,222988,7.39,,,,,,,,
Connecticut,8,2017,Spirits,220835,7.32,,,,,,,,
Connecticut,8,2017,Wine,137931,4.57,,,,,,,,
Connecticut,8,2017,Beer,256051,8.49,,,,,,,,
Connecticut,9,2017,Spirits,223091,7.4,,,,,,,,
Connecticut,9,2017,Wine,137358,4.56,,,,,,,,
Connecticut,9,2017,Beer,211723,7.02,,,,,,,,
Connecticut,10,2017,Spirits,321352,10.66,,,,,,,,
Connecticut,10,2017,Wine,176972,5.87,,,,,,,,
Connecticut,10,2017,Beer,190022,6.3,,,,,,,,
Connecticut,11,2017,Spirits,280664,9.31,,,,,,,,
Connecticut,11,2017,Wine,186162,6.17,,,,,,,,
Connecticut,11,2017,Beer,191063,6.34,,,,,,,,
Connecticut,12,2017,Spirits,243436,8.07,,,,,,,,
Connecticut,12,2017,Wine,175353,5.82,,,,,,,,
Connecticut,12,2017,Beer,195039,6.47,,,,,,,,
Connecticut,1,2018,Spirits,185030,6.13,,,,,,,,
Connecticut,1,2018,Wine,113165,3.75,,,,,,,,
Connecticut,1,2018,Beer,156397,5.18,,,,,,,,
Connecticut,2,2018,Spirits,239377,7.93,,,,,,,,
Connecticut,2,2018,Wine,140085,4.64,,,,,,,,
Connecticut,2,2018,Beer,156486,5.18,,,,,,,,
Connecticut,3,2018,Spirits,238873,7.91,,,,,,,,
Connecticut,3,2018,Wine,151400,5.01,,,,,,,,
Connecticut,3,2018,Beer,182357,6.04,,,,,,,,
Connecticut,4,2018,Spirits,237436,7.86,,,,,,,,
Connecticut,4,2018,Wine,135020,4.47,,,,,,,,
Connecticut,4,2018,Beer,184006,6.09,,,,,,,,
Connecticut,5,2018,Spirits,267882,8.87,,,,,,,,
Connecticut,5,2018,Wine,157170,5.21,,,,,,,,
Connecticut,5,2018,Beer,238154,7.89,,,,,,,,
Connecticut,6,2018,Spirits,298380,9.88,,,,,,,,
Connecticut,6,2018,Wine,158062,5.24,,,,,,,,
Connecticut,6,2018,Beer,248665,8.24,,,,,,,,
Connecticut,7,2018,Spirits,263800,8.74,,,,,,,,
Connecticut,7,2018,Wine,147097,4.87,,,,,,,,
Connecticut,7,2018,Beer,231096,7.65,,,,,,,,
Connecticut,8,2018,Spirits,226343,7.5,,,,,,,,
Connecticut,8,2018,Wine,136854,4.53,,,,,,,,
Connecticut,8,2018,Beer,251881,8.34,,,,,,,,
Connecticut,9,2018,Spirits,220342,7.3,,,,,,,,
Connecticut,9,2018,Wine,130861,4.33,,,,,,,,
Connecticut,9,2018,Beer,191612,6.35,,,,,,,,
Connecticut,10,2018,Spirits,329823,10.92,,,,,,,,
Connecticut,10,2018,Wine,177707,5.89,,,,,,,,
Connecticut,10,2018,Beer,190046,6.29,,,,,,,,
Connecticut,11,2018,Spirits,293870,9.73,,,,,,,,
Connecticut,11,2018,Wine,179438,5.94,,,,,,,,
Connecticut,11,2018,Beer,182726,6.05,,,,,,,,
Connecticut,12,2018,Spirits,252690,8.37,,,,,,,,
Connecticut,12,2018,Wine,171703,5.69,,,,,,,,
Connecticut,12,2018,Beer,194485,6.44,,,,,,,,
Connecticut,1,2019,Spirits,252690,8.37,,,,,,,,
Connecticut,1,2019,Wine,171703,5.69,,,,,,,,
Connecticut,1,2019,Beer,194485,6.44,,,,,,,,
Connecticut,2,2019,Spirits,251946,8.34,,,,,,,,
Connecticut,2,2019,Wine,125064,4.14,,,,,,,,
Connecticut,2,2019,Beer,146445,4.85,,,,,,,,
Connecticut,3,2019,Spirits,229812,7.61,,,,,,,,
Connecticut,3,2019,Wine,143239,4.74,,,,,,,,
Connecticut,3,2019,Beer,175885,5.83,,,,,,,,
Connecticut,4,2019,Spirits,254701,8.44,,,,,,,,
Connecticut,4,2019,Wine,140983,4.67,,,,,,,,
Connecticut,4,2019,Beer,194294,6.44,,,,,,,,
Connecticut,5,2019,Spirits,280678,9.3,,,,,,,,
Connecticut,5,2019,Wine,150565,4.99,,,,,,,,
Connecticut,5,2019,Beer,231191,7.66,,,,,,,,
Connecticut,6,2019,Spirits,283207,9.38,,,,,,,,
Connecticut,6,2019,Wine,153029,5.07,,,,,,,,
Connecticut,6,2019,Beer,227248,7.53,,,,,,,,
Connecticut,7,2019,Spirits,272957,9.04,,,,,,,,
Connecticut,7,2019,Wine,143362,4.75,,,,,,,,
Connecticut,7,2019,Beer,252228,8.35,,,,,,,,
