State,Year,Month,Beverage,Ethanol,Population,PerCapita,PerCapita3yr,PctChange
Louisiana,2017,06 Jun,Wine,110536,3807282,2.9,,
Massachusetts,2017,06 Jun,Wine,422090,5815595,7.26,,
Missouri,2017,06 Jun,Wine,183374,5037634,3.64,,
North Dakota,2017,06 Jun,Wine,15844,613251,2.58,,
Oregon,2017,06 Jun,Wine,163274,3468412,4.71,,
Texas,2017,06 Jun,Wine,646676,22572383,2.86,,
Virginia,2017,06 Jun,Wine,297084,7015247,4.23,,
Wisconsin,2017,06 Jun,Wine,167208,4805415,3.48,,
Alaska,2017,06 Jun,Beer,73304,593378,12.35,,
Arkansas,2017,06 Jun,Beer,219354,2455022,8.93,,
Colorado,2017,06 Jun,Beer,561407,4634346,12.11,,
Connecticut,2017,06 Jun,Beer,267892,3015481,8.88,,
Florida,2017,06 Jun,Beer,1643452,17722275,9.27,,
Illinois,2017,06 Jun,Beer,1258559,10556100,11.92,,
Kansas,2017,06 Jun,Beer,208317,2356231,8.84,,
Kentucky,2017,06 Jun,Beer,322695,3670568,8.79,,
Massachusetts,2017,06 Jun,Beer,571557,5815595,9.83,,
Missouri,2017,06 Jun,Beer,545753,5037634,10.83,,
North Dakota,2017,06 Jun,Beer,101851,613251,16.61,,
Oregon,2017,06 Jun,Beer,401254,3468412,11.57,,
Texas,2017,06 Jun,Beer,2809416,22572383,12.45,,
Virginia,2017,06 Jun,Beer,678699,7015247,9.67,,
Alaska,2017,07 Jul,Spirits,61279,593378,10.33,,
Arkansas,2017,07 Jul,Spirits,158511,2455022,6.46,,
Colorado,2017,07 Jul,Spirits,383797,4634346,8.28,,
Connecticut,2017,07 Jul,Spirits,235901,3015481,7.82,,
Florida,2017,07 Jul,Spirits,1116694,17722275,6.3,,
Illinois,2017,07 Jul,Spirits,511665,10556100,4.85,,
Kansas,2017,07 Jul,Spirits,186782,2356231,7.93,,
Kentucky,2017,07 Jul,Spirits,283521,3670568,7.72,,
Louisiana,2017,07 Jul,Spirits,261823,3807282,6.88,,
Massachusetts,2017,07 Jul,Spirits,343377,5815595,5.9,,
Missouri,2017,07 Jul,Spirits,363582,5037634,7.22,,
North Dakota,2017,07 Jul,Spirits,63621,613251,10.37,,
Texas,2017,07 Jul,Spirits,1379418,22572383,6.11,,
Virginia,2017,07 Jul,Spirits,390519,7015247,5.57,,
Wisconsin,2017,07 Jul,Spirits,633166,4805415,13.18,,
Alaska,2017,07 Jul,Wine,27565,593378,4.65,,
Arkansas,2017,07 Jul,Wine,47161,2455022,1.92,,
Colorado,2017,07 Jul,Wine,172350,4634346,3.72,,
Connecticut,2017,07 Jul,Wine,142408,3015481,4.72,,
Florida,2017,07 Jul,Wine,568624,17722275,3.21,,
Illinois,2017,07 Jul,Wine,313436,10556100,2.97,,
Kentucky,2017,07 Jul,Wine,69670,3670568,1.9,,
Louisiana,2017,07 Jul,Wine,85608,3807282,2.25,,
Massachusetts,2017,07 Jul,Wine,238136,5815595,4.09,,
Missouri,2017,07 Jul,Wine,131632,5037634,2.61,,
North Dakota,2017,07 Jul,Wine,14000,613251,2.28,,
Oregon,2017,07 Jul,Wine,192560,3468412,5.55,,
Texas,2017,07 Jul,Wine,658789,22572383,2.92,,
Virginia,2017,07 Jul,Wine,259942,7015247,3.71,,
Wisconsin,2017,07 Jul,Wine,174505,4805415,3.63,,
Alaska,2017,07 Jul,Beer,63374,593378,10.68,,
Arkansas,2017,07 Jul,Beer,219406,2455022,8.94,,
Colorado,2017,07 Jul,Beer,465644,4634346,10.05,,
Connecticut,2017,07 Jul,Beer,222988,3015481,7.39,,
Florida,2017,07 Jul,Beer,1457466,17722275,8.22,,
Illinois,2017,07 Jul,Beer,962817,10556100,9.12,,
Kansas,2017,07 Jul,Beer,257021,2356231,10.91,,
Kentucky,2017,07 Jul,Beer,349029,3670568,9.51,,
Massachusetts,2017,07 Jul,Beer,487017,5815595,8.37,,
Missouri,2017,07 Jul,Beer,495023,5037634,9.83,,
North Dakota,2017,07 Jul,Beer,83567,613251,13.63,,
Oregon,2017,07 Jul,Beer,439054,3468412,12.66,,
Texas,2017,07 Jul,Beer,2710401,22572383,12.01,,
Virginia,2017,07 Jul,Beer,568574,7015247,8.1,,
Alaska,2017,08 Aug,Spirits,73012,593378,12.3,,
Arkansas,2017,08 Aug,Spirits,116702,2455022,4.75,,
Colorado,2017,08 Aug,Spirits,494539,4634346,10.67,,
Connecticut,2017,08 Aug,Spirits,220835,3015481,7.32,,
Florida,2017,08 Aug,Spirits,1394408,17722275,7.87,,
Illinois,2017,08 Aug,Spirits,752971,10556100,7.13,,
Kansas,2017,08 Aug,Spirits,121346,2356231,5.15,,
